Documentation and Testing,repo_name,issue_file,Additional Context and Supporting Information,Issue/Problem Description,Proposed Solutions and Suggestions,Related Issues and References,Severity and Impact Assessment,Submission Guidelines and Formatting,Collaboration and Review,Log/Debugging Information,Greeting and Introduction
0.20981507003307343,facebook/react,bug_report.md,0.16660335659980774,0.16336867213249207,0.09492845833301544,0.08976014703512192,0.06398977339267731,0.06249586492776871,0.06011969968676567,0.05384936183691025,0.03506955876946449
0.03206345811486244,getify/You-Dont-Know-JS,content-question.md,0.27964359521865845,0.31961995363235474,0.057200536131858826,0.05749832093715668,0.028166253119707108,0.060496825724840164,0.10761482268571854,0.03898196667432785,0.018714359030127525
0.043164558708667755,getify/You-Dont-Know-JS,foreign-translation-request.md,0.23387855291366577,0.12574772536754608,0.14452336728572845,0.1251438409090042,0.047207433730363846,0.0452381856739521,0.1608572006225586,0.04444935545325279,0.029789822176098824
0.018954690545797348,getify/You-Dont-Know-JS,report-technical-mistake.md,0.14149390161037445,0.6113626956939697,0.0425717793405056,0.03364291787147522,0.019132794812321663,0.03594835102558136,0.058762796223163605,0.026352284476161003,0.011777689680457115
0.018954690545797348,getify/You-Dont-Know-JS,textual-grammar-typo.md,0.14149390161037445,0.6113626956939697,0.0425717793405056,0.03364291787147522,0.019132794812321663,0.03594835102558136,0.058762796223163605,0.026352284476161003,0.011777689680457115
0.03887131065130234,vinta/awesome-python,add-xxx.md,0.1486385613679886,0.09942320734262466,0.20698590576648712,0.11162937432527542,0.06897991895675659,0.0352659709751606,0.1808529645204544,0.0677969753742218,0.04155578091740608
0.1392824947834015,flutter/flutter,4_performance_others.md,0.13130290806293488,0.1248781830072403,0.10861838608980179,0.09550534933805466,0.06726446002721786,0.07101219892501831,0.06175323203206062,0.12676087021827698,0.07362186908721924
0.16248546540737152,flutter/flutter,5_performance_speed.md,0.19178861379623413,0.10234013944864273,0.11294589191675186,0.11894064396619797,0.041594166308641434,0.04610105976462364,0.04665493965148926,0.11933788657188416,0.05781124532222748
0.0829107016324997,flutter/flutter,6_infrastructure.md,0.27320772409439087,0.21184228360652924,0.10506623983383179,0.04854130372405052,0.04189097881317139,0.07422735542058945,0.058566171675920486,0.05057196319103241,0.05317525938153267
0.089653879404068,microsoft/vscode,bug_report.md,0.19915087521076202,0.1083347499370575,0.09533140063285828,0.06578653305768967,0.06859360635280609,0.1858714520931244,0.0685383528470993,0.05929449573159218,0.05944465473294258
0.046174515038728714,microsoft/vscode,feature_request.md,0.2708964943885803,0.15241095423698425,0.17990560829639435,0.09692145884037018,0.04323169216513634,0.0837765783071518,0.04296707361936569,0.03450725972652435,0.04920843243598938
