Related issues,repo_name,issue_file,Additional context,Steps to reproduce,Expected/Actual behavior,Type,Screenshot,Log,Summary,Severity,Environment,Documentation and Testing,repo_name.1,issue_file.1,Supporting Information,Issue/Problem Description,Proposed Solutions and Suggestions,References,Impact Assessment,Submission Guidelines and Formatting,Collaboration and Review,Debugging Information,Greeting and Introduction
0.2185796201229095,facebook/react,bug_report.md,0.1858129948377609,0.1413850039243698,0.0962731540203094,0.0915215164422988,0.086847111582756,0.0599986128509044,0.0517491586506366,0.0339622758328914,0.033870555460453,0.2098150700330734,facebook/react,bug_report.md,0.1666033565998077,0.163368672132492,0.0949284583330154,0.0897601470351219,0.0639897733926773,0.0624958649277687,0.0601196996867656,0.0538493618369102,0.0350695587694644
0.0969688296318054,getify/You-Dont-Know-JS,content-question.md,0.1890198588371276,0.0934871882200241,0.0510317757725715,0.314067542552948,0.0845235511660575,0.0617375001311302,0.0497810393571853,0.0304104685783386,0.0289722271263599,0.0320634581148624,getify/You-Dont-Know-JS,content-question.md,0.2796435952186584,0.3196199536323547,0.0572005361318588,0.0574983209371566,0.0281662531197071,0.0604968257248401,0.1076148226857185,0.0389819666743278,0.0187143590301275
0.251061350107193,getify/You-Dont-Know-JS,foreign-translation-request.md,0.176355630159378,0.2510335147380829,0.0780193284153938,0.0698600113391876,0.0277558378875255,0.0314834341406822,0.0525154620409011,0.0412545166909694,0.0206609051674604,0.0431645587086677,getify/You-Dont-Know-JS,foreign-translation-request.md,0.2338785529136657,0.125747725367546,0.1445233672857284,0.1251438409090042,0.0472074337303638,0.0452381856739521,0.1608572006225586,0.0444493554532527,0.0297898221760988
0.084090381860733,getify/You-Dont-Know-JS,report-technical-mistake.md,0.2082090079784393,0.0985212326049804,0.0571636259555816,0.2792124152183532,0.0865492820739746,0.0658986717462539,0.0541969873011112,0.0375757999718189,0.0285825710743665,0.0189546905457973,getify/You-Dont-Know-JS,report-technical-mistake.md,0.1414939016103744,0.6113626956939697,0.0425717793405056,0.0336429178714752,0.0191327948123216,0.0359483510255813,0.0587627962231636,0.026352284476161,0.0117776896804571
0.084090381860733,getify/You-Dont-Know-JS,textual-grammar-typo.md,0.2082090079784393,0.0985212326049804,0.0571636259555816,0.2792124152183532,0.0865492820739746,0.0658986717462539,0.0541969873011112,0.0375757999718189,0.0285825710743665,0.0189546905457973,getify/You-Dont-Know-JS,textual-grammar-typo.md,0.1414939016103744,0.6113626956939697,0.0425717793405056,0.0336429178714752,0.0191327948123216,0.0359483510255813,0.0587627962231636,0.026352284476161,0.0117776896804571
0.2157408893108368,vinta/awesome-python,add-xxx.md,0.1512628495693206,0.157973974943161,0.057986281812191,0.129240334033966,0.042057380080223,0.0700523555278778,0.0842823758721351,0.0539442710578441,0.0374592430889606,0.0388713106513023,vinta/awesome-python,add-xxx.md,0.1486385613679886,0.0994232073426246,0.2069859057664871,0.1116293743252754,0.0689799189567565,0.0352659709751606,0.1808529645204544,0.0677969753742218,0.041555780917406
0.1262718290090561,flutter/flutter,4_performance_others.md,0.1386781930923462,0.3107062578201294,0.0385059714317321,0.0729544907808303,0.0540450774133205,0.0766756907105445,0.0841638222336769,0.0483019761741161,0.0496965870261192,0.1392824947834015,flutter/flutter,4_performance_others.md,0.1313029080629348,0.1248781830072403,0.1086183860898017,0.0955053493380546,0.0672644600272178,0.0710121989250183,0.0617532320320606,0.1267608702182769,0.0736218690872192
0.1918700635433197,flutter/flutter,5_performance_speed.md,0.146816149353981,0.2591911554336548,0.036484058946371,0.058943323791027,0.0578781552612781,0.0844335407018661,0.0901735946536064,0.0432888232171535,0.0309211947023868,0.1624854654073715,flutter/flutter,5_performance_speed.md,0.1917886137962341,0.1023401394486427,0.1129458919167518,0.1189406439661979,0.0415941663086414,0.0461010597646236,0.0466549396514892,0.1193378865718841,0.0578112453222274
0.0197156202048063,flutter/flutter,6_infrastructure.md,0.0881596505641937,0.4804207682609558,0.3032249808311462,0.0235303323715925,0.0127991195768117,0.0228445120155811,0.0275122132152318,0.0119655737653374,0.0098271807655692,0.0829107016324997,flutter/flutter,6_infrastructure.md,0.2732077240943908,0.2118422836065292,0.1050662398338317,0.0485413037240505,0.0418909788131713,0.0742273554205894,0.0585661716759204,0.0505719631910324,0.0531752593815326
0.1060704886913299,microsoft/vscode,bug_report.md,0.0926608294248581,0.6465432047843933,0.0245461165904998,0.0193050540983676,0.0170119125396013,0.0234498921781778,0.0351889468729496,0.0265551470220088,0.0086683947592973,0.089653879404068,microsoft/vscode,bug_report.md,0.199150875210762,0.1083347499370575,0.0953314006328582,0.0657865330576896,0.068593606352806,0.1858714520931244,0.0685383528470993,0.0592944957315921,0.0594446547329425
