Documentation and Testing,repo_name,pr_file,Additional Context and Supporting Information,Collaboration and Review,Submission Guidelines and Formatting,Issue/Problem Description,Log/Debugging Information,Greeting and Introduction,Proposed Solutions and Suggestions,Related Issues and References,Severity and Impact Assessment
0.2433546632528305,facebook/react,PULL_REQUEST_TEMPLATE.md,0.17201121151447296,0.14084850251674652,0.11496195942163467,0.08751180022954941,0.07605026662349701,0.054008983075618744,0.042472269386053085,0.034798525273799896,0.033981841057538986
0.050712332129478455,getify/You-Dont-Know-JS,PULL_REQUEST_TEMPLATE.md,0.11189360916614532,0.0808119848370552,0.1517336368560791,0.3122493326663971,0.048510510474443436,0.03927388787269592,0.0840897336602211,0.06631112098693848,0.05441383272409439
0.032926980406045914,vinta/awesome-python,PULL_REQUEST_TEMPLATE.md,0.297119677066803,0.22951912879943848,0.04815484210848808,0.04714479669928551,0.041981879621744156,0.04653060436248779,0.13504289090633392,0.0796535462141037,0.04192565381526947
0.1887746900320053,flutter/flutter,PULL_REQUEST_TEMPLATE.md,0.22133521735668182,0.06122385710477829,0.05804727226495743,0.16474416851997375,0.03194444254040718,0.028551774099469185,0.08020531386137009,0.1303897649049759,0.0347835049033165
0.08672929555177689,microsoft/vscode,pull_request_template.md,0.31483396887779236,0.05582524836063385,0.20923857390880585,0.10460048168897629,0.020067647099494934,0.08646631985902786,0.05700979009270668,0.043351005762815475,0.021877629682421684
0.03464314714074135,ossu/computer-science,project_pr.md,0.2896285355091095,0.05832820013165474,0.30461329221725464,0.04930775612592697,0.030794769525527954,0.06272364407777786,0.07380447536706924,0.06200599670410156,0.03415015712380409
0.14816662669181824,ytdl-org/youtube-dl,PULL_REQUEST_TEMPLATE.md,0.21925786137580872,0.0792512595653534,0.12713034451007843,0.08287083357572556,0.05196348577737808,0.06486216187477112,0.07905350625514984,0.0887240618467331,0.058719757944345474
0.022429844364523888,labuladong/fucking-algorithm,PULL_REQUEST_TEMPLATE.md,0.3067071735858917,0.03718492388725281,0.02036554552614689,0.3270907402038574,0.02978760376572609,0.018497580662369728,0.10420265048742294,0.09534546732902527,0.03838839381933212
0.03563809022307396,golang/go,PULL_REQUEST_TEMPLATE,0.2096961885690689,0.10257856547832489,0.2898951470851898,0.07850901037454605,0.026341132819652557,0.07372758537530899,0.1287326067686081,0.0329827181994915,0.021898990496993065
0.2692640721797943,practical-tutorials/project-based-learning,PULL_REQUEST_TEMPLATE.md,0.18418310582637787,0.051872674375772476,0.03435790538787842,0.1761716902256012,0.05168074369430542,0.04842543229460716,0.06640870869159698,0.06832706928253174,0.049308598041534424
0.04238465428352356,facebook/create-react-app,PULL_REQUEST_TEMPLATE.md,0.27952468395233154,0.22246167063713074,0.04799133911728859,0.040745820850133896,0.05014440417289734,0.10256976634263992,0.08023164421319962,0.07055091857910156,0.06339512020349503
0.09385568648576736,huggingface/transformers,PULL_REQUEST_TEMPLATE.md,0.1306295394897461,0.08935786038637161,0.1139993965625763,0.09627746045589447,0.11312650889158249,0.10016336292028427,0.08176659792661667,0.09393645077943802,0.08688708394765854
0.055789779871702194,microsoft/TypeScript,pull_request_template.md,0.2763753831386566,0.05542847141623497,0.04038740694522858,0.21662233769893646,0.060474034398794174,0.051684439182281494,0.10194192081689835,0.09387823194265366,0.04741794243454933
0.10760783404111862,microsoft/terminal,PULL_REQUEST_TEMPLATE.md,0.35607439279556274,0.02263006381690502,0.00440168846398592,0.08221925795078278,0.006154107861220837,0.007030258886516094,0.012429359368979931,0.39585721492767334,0.005595816299319267
0.24563035368919373,tensorflow/models,PULL_REQUEST_TEMPLATE.md,0.15861250460147858,0.11775369197130203,0.05258781462907791,0.16159725189208984,0.05263043940067291,0.03580368310213089,0.06788138300180435,0.06819813698530197,0.039304714649915695
0.06992597132921219,microsoft/Web-Dev-For-Beginners,translation_checklist.md,0.16781888902187347,0.11796334385871887,0.09756214171648026,0.10400383174419403,0.07552017271518707,0.057201627641916275,0.10926943272352219,0.10541592538356781,0.09531863033771515
0.07186796516180038,microsoft/Web-Dev-For-Beginners,translation_checklist.pt.md,0.16696885228157043,0.11842077970504761,0.10087168961763382,0.0939827635884285,0.07222393155097961,0.05741312727332115,0.11218874901533127,0.11143326014280319,0.09462881833314896
0.03777005895972252,pytorch/pytorch,PULL_REQUEST_TEMPLATE.md,0.2408345341682434,0.0764639601111412,0.05048317089676857,0.16405726969242096,0.08842603117227554,0.03146525099873543,0.10567239671945572,0.06604138016700745,0.1387859582901001
0.02938074991106987,tauri-apps/tauri,PULL_REQUEST_TEMPLATE.md,0.451975017786026,0.09169242531061172,0.06245911493897438,0.0816078931093216,0.02953098528087139,0.029775187373161316,0.06661766767501831,0.10993222147226334,0.04702868312597275
0.03116982989013195,webpack/webpack,PULL_REQUEST_TEMPLATE.md,0.5072967410087585,0.1289321780204773,0.03485671803355217,0.11184173077344894,0.027462419122457504,0.03571536764502525,0.05284527689218521,0.04233795031905174,0.02754187025129795
0.2721448540687561,pallets/flask,pull_request_template.md,0.11249509453773499,0.09783781319856644,0.05270515754818916,0.1204787865281105,0.04851908981800079,0.05115029960870743,0.09277341514825821,0.08930426090955734,0.06259118765592575
0.11419881880283356,apple/swift,PULL_REQUEST_TEMPLATE.md,0.31609538197517395,0.050186194479465485,0.03790467604994774,0.0986701101064682,0.03802354261279106,0.05597835034132004,0.08113595098257065,0.1630314141511917,0.044775597751140594
0.07211285829544067,jaywcjlove/awesome-mac,PULL_REQUEST_TEMPLATE.md,0.19450175762176514,0.07473155111074448,0.07878024131059647,0.12591621279716492,0.06506753712892532,0.08973124623298645,0.12884776294231415,0.10673543810844421,0.06357542425394058
0.03556787222623825,coder/code-server,PULL_REQUEST_TEMPLATE.md,0.13406096398830414,0.03360352665185928,0.032874852418899536,0.33372262120246887,0.0365430973470211,0.026089303195476532,0.18967124819755554,0.12969434261322021,0.048172153532505035
0.06431195139884949,coder/code-server,release_template.md,0.27377966046333313,0.22741614282131195,0.036103662103414536,0.06137336790561676,0.06314856559038162,0.05894140526652336,0.08890672028064728,0.07375358045101166,0.05226489156484604
0.12744662165641785,reduxjs/redux,PULL_REQUEST_TEMPLATE.md,0.13376681506633759,0.10599128156900406,0.11588269472122192,0.12570366263389587,0.06772097945213318,0.05182250589132309,0.1033499613404274,0.07370240986347198,0.09461308270692825
0.10583716630935669,reduxjs/redux,bugfix.md,0.13485145568847656,0.03535850718617439,0.0220596082508564,0.4794468581676483,0.0344257727265358,0.027044782415032387,0.09162776172161102,0.04439115524291992,0.02495693229138851
0.031511761248111725,reduxjs/redux,documentation-edit.md,0.12041254341602325,0.019667092710733414,0.01205139234662056,0.5534252524375916,0.014822172932326794,0.012870777398347855,0.1496777981519699,0.0760413110256195,0.009519912302494049
