Summary,repo_name,pr_file,Additional context,Steps to reproduce,Related issues,Screenshot,Expected/Actual behavior,Type,Environment,Log,Severity
0.2547990381717682,facebook/react,PULL_REQUEST_TEMPLATE.md,0.20235097408294678,0.19298499822616577,0.0974247083067894,0.05794030800461769,0.05339120328426361,0.04917352646589279,0.03655969724059105,0.02793789468705654,0.027437644079327583
0.04306722432374954,getify/You-Dont-Know-JS,PULL_REQUEST_TEMPLATE.md,0.3159640431404114,0.14067193865776062,0.1477363407611847,0.05986833572387695,0.11715617775917053,0.07421675324440002,0.026844752952456474,0.046716149896383286,0.027758290991187096
0.1030179113149643,vinta/awesome-python,PULL_REQUEST_TEMPLATE.md,0.2817096710205078,0.10509847104549408,0.20795106887817383,0.04093240201473236,0.06303232163190842,0.07653428614139557,0.027402883395552635,0.049707647413015366,0.0446133017539978
0.060639891773462296,flutter/flutter,PULL_REQUEST_TEMPLATE.md,0.23557688295841217,0.08345193415880203,0.27716851234436035,0.16536900401115417,0.051704324781894684,0.055926524102687836,0.01954744942486286,0.0319693461060524,0.01864623837172985
0.18464726209640503,microsoft/vscode,pull_request_template.md,0.3262227773666382,0.16434040665626526,0.09983064979314804,0.04835762083530426,0.040741126984357834,0.04562118276953697,0.020162325352430344,0.04491978511214256,0.025156933814287186
0.06508399546146393,ossu/computer-science,project_pr.md,0.2974061369895935,0.26507875323295593,0.07727877050638199,0.03552529215812683,0.08174797147512436,0.06644532829523087,0.024199383333325386,0.05053706094622612,0.03669736534357071
0.0660596415400505,ytdl-org/youtube-dl,PULL_REQUEST_TEMPLATE.md,0.24403798580169678,0.09984126687049866,0.24288491904735565,0.035671643912792206,0.13523805141448975,0.05847155675292015,0.035927556455135345,0.04351421818137169,0.038353219628334045
0.067502461373806,labuladong/fucking-algorithm,PULL_REQUEST_TEMPLATE.md,0.1528921276330948,0.056895311921834946,0.41442713141441345,0.04124603047966957,0.04501871019601822,0.07842152565717697,0.01965012215077877,0.0679568350315094,0.055989768356084824
0.07477180659770966,golang/go,PULL_REQUEST_TEMPLATE,0.28780439496040344,0.1720140427350998,0.09163640439510345,0.04349387064576149,0.07928376644849777,0.10627742111682892,0.03146473318338394,0.06498018652200699,0.04827349632978439
0.45439615845680237,practical-tutorials/project-based-learning,PULL_REQUEST_TEMPLATE.md,0.1656094491481781,0.09253162890672684,0.11105635017156601,0.017433397471904755,0.03816073015332222,0.042489685118198395,0.030445415526628494,0.02269640937447548,0.0251807551831007
